Tender_ID,Submission_Date,Client_Industry,Client_Region,Equipment_Category,Equipment_Type,Project_Type,Tender_Value_IDR,Our_Bid_IDR,Bid_Margin_Pct,Lead_Time_Days,Status,Win_Loss_Reason,Competitor_Type,Principal_Origin,Quotation_Revisions,Decision_Maker_Level,Tender_Quarter
TND-2022-019,2022-09-10,Sugar,Lampung,Process Machinery,Vacuum Pan Components,Replacement,890000000,915000000,15.0,65,Loss,Lost to Tender Specs,International OEM,European,2,Plant Manager,Q3-2022
TND-2022-020,2022-09-23,Power Generation,Jakarta,Spare Parts,Generator Spare Parts Bundle,Replacement,485000000,475000000,21.0,30,Win,Faster Lead Time,Local Distributor,European,1,Procurement Manager,Q3-2022
TND-2022-021,2022-10-05,Sugar,Central Java,Power & Utilities,Electromotor 500HP,New Installation,1180000000,1145000000,13.8,75,Win,Better Technical Specs,Local Distributor,European,1,Engineering Head,Q4-2022
TND-2022-022,2022-10-18,Pulp & Paper,East Kalimantan,Instrumentation,SCADA System Upgrade,Upgrade,1850000000,1920000000,16.5,85,Loss,Higher Price,International OEM,European,3,Procurement Director,Q4-2022
TND-2022-023,2022-11-02,Sugar,South Sumatra,Material Handling,Conveyor Belt Heavy Duty,Replacement,650000000,635000000,14.8,55,Win,Established Relationship,Local Distributor,Asian,1,Plant Manager,Q4-2022
TND-2022-024,2022-11-15,Power Generation,West Java,Process Machinery,Gearbox & Coupling,Replacement,920000000,895000000,13.5,65,Win,Better Technical Specs,Local Distributor,European,1,Engineering Head,Q4-2022
TND-2022-025,2022-11-28,Sugar,Lampung,Power & Utilities,Inverter VSD 300HP,Upgrade,520000000,535000000,15.2,40,Loss,Higher Price,International OEM,European,2,Procurement Manager,Q4-2022
TND-2022-026,2022-12-12,Pulp & Paper,Riau,Process Machinery,Centrifugal Pump Set,Replacement,780000000,762000000,14.5,50,Win,Faster Lead Time,Local Distributor,European,1,Engineering Head,Q4-2022
TND-2022-027,2022-12-22,Sugar,East Java,Spare Parts,Centrifugal Spare Parts,Replacement,225000000,220000000,23.0,25,Win,Faster Lead Time,Local Distributor,European,1,Procurement Manager,Q4-2022
TND-2023-028,2023-01-10,Sugar,Central Java,Process Machinery,Vacuum Pan System,New Installation,3850000000,3780000000,11.5,130,Loss,Lost to Tender Specs,International OEM,European,3,Procurement Director,Q1-2023
TND-2023-029,2023-01-25,Power Generation,South Sumatra,Power & Utilities,Generator 3MW,New Installation,5650000000,5550000000,10.8,140,Win,Better Technical Specs,Local Distributor,European,2,Plant Manager,Q1-2023
TND-2023-030,2023-02-08,Sugar,Lampung,Instrumentation,Temperature Sensors Bundle,Replacement,165000000,158000000,20.5,30,Win,Faster Lead Time,Local Distributor,Asian,1,Engineering Head,Q1-2023
TND-2023-031,2023-02-22,Pulp & Paper,East Kalimantan,Material Handling,Pump Industrial Heavy Duty,Replacement,890000000,910000000,14.0,60,Loss,Higher Price,International OEM,European,2,Procurement Manager,Q1-2023
TND-2023-032,2023-03-08,Sugar,East Java,Power & Utilities,Transformer 1000kVA,Replacement,1450000000,1410000000,13.2,80,Win,Established Relationship,Local Distributor,European,1,Engineering Head,Q1-2023
TND-2023-033,2023-03-22,Power Generation,Jakarta,Process Machinery,Gearbox Industrial,Replacement,580000000,565000000,15.0,55,Win,Better Technical Specs,Local Distributor,European,1,Plant Manager,Q1-2023
TND-2023-034,2023-04-05,Sugar,South Sumatra,Process Machinery,Centrifugal Machine,New Installation,2950000000,2880000000,12.0,95,Win,Better Technical Specs,Local Distributor,European,2,Plant Manager,Q2-2023
TND-2023-035,2023-04-18,Pulp & Paper,Riau,Power & Utilities,Electromotor 1000HP,New Installation,1850000000,1810000000,12.5,85,Win,Better Technical Specs,Local Distributor,European,1,Procurement Director,Q2-2023
TND-2023-036,2023-05-02,Sugar,Central Java,Instrumentation,Control Valve Set,Replacement,395000000,405000000,17.8,45,Loss,Higher Price,International OEM,European,2,Engineering Head,Q2-2023
TND-2023-037,2023-05-15,Power Generation,West Java,Spare Parts,Transformer Spare Parts,Replacement,320000000,310000000,22.0,30,Win,Faster Lead Time,Local Distributor,European,1,Procurement Manager,Q2-2023
TND-2023-038,2023-05-28,Sugar,Lampung,Material Handling,Conveyor System Upgrade,Upgrade,1380000000,1420000000,14.5,75,Loss,Lost to Tender Specs,International OEM,European,3,Plant Manager,Q2-2023
TND-2023-039,2023-06-10,Pulp & Paper,East Kalimantan,Process Machinery,Pump Centrifugal Industrial,Replacement,720000000,705000000,15.2,55,Win,Better Technical Specs,Local Distributor,European,1,Engineering Head,Q2-2023
TND-2023-040,2023-06-25,Sugar,East Java,Power & Utilities,Inverter VSD 500HP,Replacement,680000000,695000000,15.8,45,Loss,Higher Price,International OEM,European,2,Procurement Manager,Q2-2023
TND-2023-041,2023-07-08,Sugar,Central Java,Process Machinery,Centrifugal Machine,Replacement,2450000000,2380000000,12.5,90,Win,Established Relationship,Local Distributor,European,1,Plant Manager,Q3-2023
TND-2023-042,2023-07-22,Power Generation,South Sumatra,Power & Utilities,Generator 2MW,Replacement,3850000000,3780000000,11.5,120,Loss,Higher Price,International OEM,European,2,Procurement Director,Q3-2023
TND-2023-043,2023-08-05,Sugar,Lampung,Instrumentation,Pressure Sensors Bundle,Replacement,225000000,218000000,19.5,35,Win,Faster Lead Time,Local Distributor,Asian,1,Engineering Head,Q3-2023
TND-2023-044,2023-08-18,Pulp & Paper,Riau,Material Handling,Piping System Replacement,Replacement,1180000000,1145000000,13.5,70,Win,Better Technical Specs,Local Distributor,European,1,Plant Manager,Q3-2023
TND-2023-045,2023-09-02,Sugar,South Sumatra,Power & Utilities,Transformer 1500kVA,New Installation,1950000000,1895000000,12.8,85,Win,Better Technical Specs,Local Distributor,European,2,Engineering Head,Q3-2023
TND-2023-046,2023-09-15,Power Generation,Jakarta,Process Machinery,Gearbox Heavy Duty,Replacement,820000000,805000000,14.2,60,Win,Established Relationship,Local Distributor,European,1,Plant Manager,Q3-2023
TND-2023-047,2023-09-28,Sugar,East Java,Spare Parts,VSD Spare Parts Bundle,Replacement,145000000,142000000,24.5,25,Win,Faster Lead Time,Local Distributor,Asian,1,Procurement Manager,Q3-2023
TND-2023-048,2023-10-12,Pulp & Paper,East Kalimantan,Power & Utilities,Generator 1MW,Replacement,2250000000,2310000000,12.0,110,Loss,Higher Price,International OEM,European,3,Procurement Director,Q4-2023
TND-2023-049,2023-10-25,Sugar,Lampung,Instrumentation,SCADA Upgrade,Upgrade,1350000000,1310000000,15.5,80,Win,Better Technical Specs,Local Distributor,European,2,Engineering Head,Q4-2023
TND-2023-050,2023-11-08,Power Generation,West Java,Process Machinery,Centrifugal Pump Heavy Duty,Replacement,580000000,565000000,15.8,50,Win,Faster Lead Time,Local Distributor,European,1,Procurement Manager,Q4-2023
TND-2023-051,2023-11-22,Sugar,Central Java,Material Handling,Conveyor Belt System,Replacement,750000000,735000000,14.8,55,Win,Better Technical Specs,Local Distributor,European,1,Plant Manager,Q4-2023
TND-2023-052,2023-12-05,Pulp & Paper,Riau,Power & Utilities,Electromotor 750HP,Replacement,1180000000,1210000000,13.2,75,Loss,Higher Price,International OEM,European,2,Engineering Head,Q4-2023
TND-2023-053,2023-12-18,Sugar,East Java,Process Machinery,Vacuum Pan Components,Replacement,950000000,925000000,14.5,65,Win,Established Relationship,Local Distributor,European,1,Plant Manager,Q4-2023
TND-2024-054,2024-01-12,Sugar,South Sumatra,Power & Utilities,Generator 2MW,New Installation,4150000000,4060000000,11.0,130,Win,Better Technical Specs,Local Distributor,European,2,Procurement Director,Q1-2024
TND-2024-055,2024-01-26,Power Generation,Jakarta,Instrumentation,Control System Replacement,Replacement,1280000000,1320000000,15.0,80,Loss,Higher Price,International OEM,European,3,Engineering Head,Q1-2024
TND-2024-056,2024-02-09,Sugar,Lampung,Spare Parts,Centrifugal Spare Parts,Replacement,195000000,188000000,23.5,30,Win,Faster Lead Time,Local Distributor,European,1,Procurement Manager,Q1-2024
TND-2024-057,2024-02-23,Pulp & Paper,East Kalimantan,Material Handling,Pump Set Industrial,Replacement,650000000,635000000,15.5,55,Win,Better Technical Specs,Local Distributor,European,1,Engineering Head,Q1-2024
TND-2024-058,2024-03-08,Sugar,Central Java,Power & Utilities,Inverter VSD 400HP,Upgrade,580000000,595000000,15.8,45,Loss,Higher Price,International OEM,European,2,Plant Manager,Q1-2024
TND-2024-059,2024-03-22,Power Generation,South Sumatra,Process Machinery,Gearbox Industrial,Replacement,720000000,705000000,14.5,60,Win,Established Relationship,Local Distributor,European,1,Engineering Head,Q1-2024
TND-2024-060,2024-04-05,Sugar,East Java,Process Machinery,Centrifugal Machine,New Installation,3250000000,3180000000,11.8,100,Win,Better Technical Specs,Local Distributor,European,2,Plant Manager,Q2-2024
TND-2024-061,2024-04-19,Pulp & Paper,Riau,Power & Utilities,Transformer 2500kVA,New Installation,2850000000,2920000000,12.5,95,Loss,Higher Price,International OEM,European,3,Procurement Director,Q2-2024
TND-2024-062,2024-05-03,Sugar,Lampung,Instrumentation,Flow Meter Bundle,Replacement,285000000,278000000,19.0,35,Win,Faster Lead Time,Local Distributor,Asian,1,Engineering Head,Q2-2024
TND-2024-063,2024-05-17,Power Generation,West Java,Spare Parts,Generator Maintenance Kit,Replacement,420000000,410000000,21.5,30,Win,Faster Lead Time,Local Distributor,European,1,Procurement Manager,Q2-2024
TND-2024-064,2024-05-30,Sugar,South Sumatra,Material Handling,Conveyor System,Replacement,1080000000,1115000000,14.5,70,Loss,Lost to Tender Specs,International OEM,European,2,Plant Manager,Q2-2024
TND-2024-065,2024-06-13,Pulp & Paper,East Kalimantan,Process Machinery,Centrifugal Pump Heavy Duty,Replacement,820000000,805000000,15.0,55,Win,Better Technical Specs,Local Distributor,European,1,Engineering Head,Q2-2024
TND-2024-066,2024-06-27,Sugar,Central Java,Power & Utilities,Electromotor 600HP,Replacement,1350000000,1310000000,13.5,75,Win,Established Relationship,Local Distributor,European,1,Plant Manager,Q2-2024
TND-2024-067,2024-07-10,Sugar,Lampung,Process Machinery,Vacuum Pan System,Replacement,2850000000,2780000000,12.2,90,Win,Better Technical Specs,Local Distributor,European,2,Procurement Director,Q3-2024
TND-2024-068,2024-07-24,Power Generation,Jakarta,Power & Utilities,Generator 4MW,New Installation,7250000000,7395000000,10.5,160,Loss,Higher Price,International OEM,European,3,Procurement Director,Q3-2024
TND-2024-069,2024-08-07,Sugar,East Java,Instrumentation,SCADA System,Upgrade,1580000000,1545000000,15.0,85,Win,Better Technical Specs,Local Distributor,European,2,Engineering Head,Q3-2024
TND-2024-070,2024-08-21,Pulp & Paper,Riau,Material Handling,Piping System Industrial,Replacement,1250000000,1285000000,13.8,70,Loss,Higher Price,International OEM,European,2,Plant Manager,Q3-2024
TND-2024-071,2024-09-04,Sugar,South Sumatra,Power & Utilities,Inverter VSD 800HP,New Installation,950000000,925000000,14.5,55,Win,Better Technical Specs,Local Distributor,European,1,Engineering Head,Q3-2024
TND-2024-072,2024-09-18,Power Generation,West Java,Process Machinery,Gearbox Heavy Duty,Replacement,680000000,665000000,15.0,60,Win,Established Relationship,Local Distributor,European,1,Plant Manager,Q3-2024
TND-2024-073,2024-10-02,Sugar,Central Java,Spare Parts,Centrifugal Bearings Bundle,Replacement,165000000,160000000,24.0,25,Win,Faster Lead Time,Local Distributor,European,1,Procurement Manager,Q4-2024
TND-2024-074,2024-10-16,Pulp & Paper,East Kalimantan,Power & Utilities,Transformer 1500kVA,Replacement,1850000000,1810000000,13.0,85,Win,Better Technical Specs,Local Distributor,European,1,Engineering Head,Q4-2024
TND-2024-075,2024-10-30,Sugar,Lampung,Process Machinery,Centrifugal Machine,Replacement,2250000000,2310000000,12.8,85,Loss,Higher Price,International OEM,European,2,Plant Manager,Q4-2024
TND-2024-076,2024-11-13,Power Generation,Jakarta,Instrumentation,Control System Upgrade,Upgrade,1450000000,1410000000,15.5,80,Win,Better Technical Specs,Local Distributor,European,2,Procurement Director,Q4-2024
TND-2024-077,2024-11-27,Sugar,East Java,Material Handling,Conveyor Belt Replacement,Replacement,580000000,565000000,15.0,50,Win,Faster Lead Time,Local Distributor,European,1,Plant Manager,Q4-2024
TND-2024-078,2024-12-11,Pulp & Paper,Riau,Process Machinery,Pump Centrifugal Industrial,Replacement,720000000,738000000,14.8,55,Loss,Higher Price,International OEM,European,2,Engineering Head,Q4-2024
TND-2024-079,2024-12-23,Sugar,South Sumatra,Power & Utilities,Electromotor 800HP,New Installation,1580000000,1535000000,13.0,75,Win,Established Relationship,Local Distributor,European,1,Engineering Head,Q4-2024
TND-2025-080,2025-01-15,Sugar,Central Java,Process Machinery,Vacuum Pan Components,Replacement,1080000000,1055000000,14.5,65,Win,Better Technical Specs,Local Distributor,European,1,Plant Manager,Q1-2025
TND-2025-081,2025-01-29,Power Generation,South Sumatra,Power & Utilities,Generator 5MW,New Installation,9250000000,9050000000,9.8,170,Win,Better Technical Specs,Local Distributor,European,2,Procurement Director,Q1-2025
TND-2025-082,2025-02-12,Sugar,Lampung,Instrumentation,Pressure Sensors Set,Replacement,195000000,190000000,20.0,30,Win,Faster Lead Time,Local Distributor,Asian,1,Engineering Head,Q1-2025
TND-2025-083,2025-02-26,Pulp & Paper,East Kalimantan,Material Handling,Pump Industrial,Replacement,950000000,975000000,14.5,60,Loss,Higher Price,International OEM,European,2,Procurement Manager,Q1-2025
TND-2025-084,2025-03-12,Sugar,East Java,Power & Utilities,Transformer 2000kVA,Replacement,2350000000,2295000000,12.5,90,Win,Established Relationship,Local Distributor,European,1,Engineering Head,Q1-2025
TND-2025-085,2025-03-26,Power Generation,Jakarta,Process Machinery,Gearbox Heavy Duty,Replacement,720000000,705000000,14.8,60,Win,Better Technical Specs,Local Distributor,European,1,Plant Manager,Q1-2025
TND-2025-086,2025-04-09,Sugar,South Sumatra,Process Machinery,Centrifugal Machine,New Installation,3450000000,3380000000,11.5,105,Win,Better Technical Specs,Local Distributor,European,2,Plant Manager,Q2-2025
TND-2025-087,2025-04-23,Pulp & Paper,Riau,Power & Utilities,Electromotor 1200HP,New Installation,2150000000,2095000000,12.0,90,Win,Better Technical Specs,Local Distributor,European,1,Procurement Director,Q2-2025
TND-2025-088,2025-05-07,Sugar,Central Java,Instrumentation,Control Valve Bundle,Replacement,420000000,432000000,17.5,45,Loss,Higher Price,International OEM,European,2,Engineering Head,Q2-2025
TND-2025-089,2025-05-21,Power Generation,West Java,Spare Parts,Generator Spare Parts,Replacement,385000000,375000000,21.8,30,Win,Faster Lead Time,Local Distributor,European,1,Procurement Manager,Q2-2025
TND-2025-090,2025-06-04,Sugar,Lampung,Material Handling,Conveyor System Upgrade,Upgrade,1280000000,1320000000,14.2,75,Loss,Lost to Tender Specs,International OEM,European,3,Plant Manager,Q2-2025
TND-2025-091,2025-06-18,Pulp & Paper,East Kalimantan,Process Machinery,Centrifugal Pump,Replacement,680000000,665000000,15.0,55,Win,Better Technical Specs,Local Distributor,European,1,Engineering Head,Q2-2025
TND-2025-092,2025-07-02,Sugar,East Java,Power & Utilities,Inverter VSD 600HP,Replacement,750000000,765000000,15.5,45,Loss,Higher Price,International OEM,European,2,Procurement Manager,Q3-2025
TND-2025-093,2025-07-16,Sugar,Central Java,Process Machinery,Vacuum Pan System,New Installation,3850000000,3760000000,11.8,115,Win,Established Relationship,Local Distributor,European,2,Procurement Director,Q3-2025
TND-2025-094,2025-07-30,Power Generation,South Sumatra,Power & Utilities,Generator 3MW,Replacement,5950000000,5840000000,10.5,140,Win,Better Technical Specs,Local Distributor,European,2,Plant Manager,Q3-2025
TND-2025-095,2025-08-13,Sugar,Lampung,Instrumentation,SCADA Replacement,Replacement,1850000000,1810000000,15.2,85,Win,Better Technical Specs,Local Distributor,European,2,Engineering Head,Q3-2025
TND-2025-096,2025-08-27,Pulp & Paper,Riau,Material Handling,Piping System,Replacement,1080000000,1115000000,13.5,70,Loss,Higher Price,International OEM,European,2,Plant Manager,Q3-2025
TND-2025-097,2025-09-10,Sugar,South Sumatra,Power & Utilities,Transformer 1000kVA,Replacement,1450000000,1410000000,13.0,80,Win,Better Technical Specs,Local Distributor,European,1,Engineering Head,Q3-2025
TND-2025-098,2025-09-24,Power Generation,Jakarta,Process Machinery,Gearbox Industrial,Replacement,820000000,805000000,14.5,60,Win,Established Relationship,Local Distributor,European,1,Plant Manager,Q3-2025
TND-2025-099,2025-10-08,Sugar,East Java,Spare Parts,Centrifugal Spare Parts,Replacement,225000000,218000000,23.0,30,Win,Faster Lead Time,Local Distributor,European,1,Procurement Manager,Q4-2025
TND-2025-100,2025-10-22,Pulp & Paper,East Kalimantan,Process Machinery,Pump Centrifugal Heavy Duty,Replacement,920000000,900000000,15.0,55,Win,Better Technical Specs,Local Distributor,European,1,Engineering Head,Q4-2025
TND-2025-101,2025-11-05,Sugar,Central Java,Power & Utilities,Electromotor 1000HP,New Installation,1850000000,1810000000,12.8,85,Win,Better Technical Specs,Local Distributor,European,2,Procurement Director,Q4-2025
TND-2025-102,2025-11-19,Power Generation,West Java,Instrumentation,Control System,Replacement,1180000000,1215000000,15.0,75,Loss,Higher Price,International OEM,European,2,Engineering Head,Q4-2025
TND-2025-103,2025-12-03,Sugar,Lampung,Material Handling,Conveyor Belt System,Replacement,650000000,635000000,15.2,55,Win,Established Relationship,Local Distributor,European,1,Plant Manager,Q4-2025
TND-2025-104,2025-12-17,Sugar,South Sumatra,Process Machinery,Centrifugal Machine,Replacement,2650000000,2585000000,12.5,95,Win,Better Technical Specs,Local Distributor,European,1,Plant Manager,Q4-2025
